DateTime,Open,High,Low,Close,Delta,CumDelta
2025-02-27  18:30:00,5885.25,5889.25,5883.00,5887.50,157,157
2025-02-27  19:00:00,5887.50,5889.75,5880.50,5881.75,-306,-149
2025-02-27  19:30:00,5881.75,5884.00,5874.75,5875.00,-404,-553
2025-02-27  20:00:00,5875.25,5886.25,5874.25,5878.75,33,-520
2025-02-27  20:30:00,5878.50,5882.50,5859.75,5877.50,-537,-1057
2025-02-27  21:00:00,5877.50,5882.25,5874.00,5880.25,32,-1025
2025-02-27  21:30:00,5880.25,5882.00,5866.75,5870.25,-507,-1532
2025-02-27  22:00:00,5870.25,5873.00,5861.50,5867.25,-342,-1874
2025-02-27  22:30:00,5867.25,5869.00,5858.50,5866.50,-167,-2041
2025-02-27  23:00:00,5866.50,5877.50,5863.25,5877.25,177,-1864
2025-02-27  23:30:00,5877.50,5883.00,5875.75,5879.25,-691,-2555
2025-02-28  00:00:00,5879.00,5884.00,5878.00,5879.00,-200,-2755
2025-02-28  00:30:00,5879.00,5883.00,5876.50,5880.00,-24,-2779
2025-02-28  01:00:00,5879.75,5885.50,5877.75,5883.25,27,-2752
2025-02-28  01:30:00,5883.50,5885.00,5874.50,5875.50,-631,-3383
2025-02-28  02:00:00,5875.50,5881.00,5872.25,5874.25,-138,-3521
2025-02-28  02:30:00,5874.25,5886.25,5869.50,5884.25,246,-3275
2025-02-28  03:00:00,5884.25,5892.75,5881.75,5890.75,320,-2955
2025-02-28  03:30:00,5890.75,5894.25,5888.75,5892.25,501,-2454
2025-02-28  04:00:00,5892.50,5897.00,5888.25,5896.00,-585,-3039
2025-02-28  04:30:00,5896.00,5896.25,5890.50,5892.75,-73,-3112
2025-02-28  05:00:00,5892.75,5896.25,5891.00,5893.00,-763,-3875
2025-02-28  05:30:00,5892.75,5899.00,5892.75,5895.00,-251,-4126
2025-02-28  06:00:00,5895.00,5899.00,5895.00,5898.25,-255,-4381
2025-02-28  06:30:00,5898.50,5900.50,5894.00,5896.75,-278,-4659
2025-02-28  07:00:00,5896.75,5897.00,5885.25,5891.25,-1493,-6152
2025-02-28  07:30:00,5891.25,5892.00,5883.75,5890.75,-888,-7040
2025-02-28  08:00:00,5890.50,5893.00,5881.25,5885.25,-997,-8037
2025-02-28  08:30:00,5884.75,5899.50,5884.50,5886.75,-14,-8051
2025-02-28  09:00:00,5887.00,5891.75,5878.00,5880.00,-2594,-10645
2025-02-28  09:30:00,5879.75,5887.25,5857.00,5884.00,1584,-9061
2025-02-28  10:00:00,5884.00,5907.50,5876.00,5907.25,5074,-3987
2025-02-28  10:30:00,5907.25,5913.00,5894.50,5912.50,-750,-4737
2025-02-28  11:00:00,5912.50,5914.25,5883.50,5884.25,-3494,-8231
2025-02-28  11:30:00,5884.50,5907.50,5881.75,5897.25,2341,-5890
2025-02-28  12:00:00,5897.25,5907.00,5888.50,5894.25,1460,-4430
2025-02-28  12:30:00,5894.00,5895.50,5859.50,5860.25,-5505,-9935
2025-02-28  13:00:00,5860.25,5871.50,5848.00,5870.75,-3197,-13132
2025-02-28  13:30:00,5870.75,5889.00,5859.25,5859.50,7359,-5773
2025-02-28  14:00:00,5859.50,5882.00,5859.00,5880.25,2545,-3228
2025-02-28  14:30:00,5880.25,5906.25,5876.00,5904.50,8763,5535
2025-02-28  15:00:00,5904.50,5920.50,5900.25,5920.00,12008,17543
2025-02-28  15:30:00,5919.75,5971.00,5902.50,5964.00,21668,39211
2025-02-28  16:00:00,5964.25,5965.75,5953.75,5957.25,-14230,24981
2025-03-02  18:00:00,5967.50,5984.50,5964.25,5978.25,-387,24594
2025-03-02  18:30:00,5978.25,5980.25,5970.50,5974.25,-739,23855
2025-03-02  19:00:00,5974.50,5975.75,5953.50,5956.00,-1066,22789
2025-03-02  19:30:00,5956.25,5960.25,5947.00,5955.25,-683,22106
2025-03-02  20:00:00,5955.25,5962.75,5951.50,5960.25,20,22126
2025-03-02  20:30:00,5960.00,5966.75,5954.50,5965.25,151,22277
2025-03-02  21:00:00,5965.25,5969.00,5961.75,5962.75,-46,22231
2025-03-02  21:30:00,5962.50,5968.25,5959.75,5964.25,372,22603
2025-03-02  22:00:00,5964.25,5965.00,5957.50,5960.25,26,22629
2025-03-02  22:30:00,5960.25,5965.50,5958.50,5965.00,57,22686
2025-03-02  23:00:00,5964.75,5971.00,5964.25,5970.25,337,23023
2025-03-02  23:30:00,5970.25,5972.50,5968.75,5972.00,151,23174
2025-03-03  00:00:00,5972.00,5976.25,5970.75,5975.25,-41,23133
2025-03-03  00:30:00,5975.00,5979.25,5972.75,5977.25,-56,23077
2025-03-03  01:00:00,5977.25,5977.75,5971.75,5974.00,-167,22910
2025-03-03  01:30:00,5974.00,5982.25,5972.25,5979.50,96,23006
2025-03-03  02:00:00,5979.50,5980.75,5964.75,5966.00,-682,22324
2025-03-03  02:30:00,5966.25,5975.75,5965.75,5971.25,316,22640
2025-03-03  03:00:00,5971.00,5978.50,5955.75,5960.25,-193,22447
2025-03-03  03:30:00,5960.25,5971.25,5957.50,5966.75,-244,22203
2025-03-03  04:00:00,5967.00,5972.75,5962.25,5971.50,225,22428
2025-03-03  04:30:00,5971.50,5982.50,5971.50,5982.00,207,22635
2025-03-03  05:00:00,5982.00,5983.50,5974.75,5976.75,-138,22497
2025-03-03  05:30:00,5977.00,5982.75,5976.25,5982.00,348,22845
2025-03-03  06:00:00,5982.00,5986.50,5980.75,5986.25,-297,22548
2025-03-03  06:30:00,5986.50,5989.25,5982.50,5988.50,-117,22431
2025-03-03  07:00:00,5988.25,6000.50,5986.25,5994.50,1097,23528
2025-03-03  07:30:00,5994.50,5995.75,5989.75,5992.00,-363,23165
2025-03-03  08:00:00,5991.75,5993.25,5984.50,5989.50,-263,22902
2025-03-03  08:30:00,5989.50,5989.50,5980.25,5985.25,19,22921
2025-03-03  09:00:00,5985.25,5992.75,5982.75,5984.75,837,23758
2025-03-03  09:30:00,5984.75,5997.00,5947.75,5951.50,-7563,16195
2025-03-03  10:00:00,5951.50,5964.75,5930.50,5964.00,-1594,14601
2025-03-03  10:30:00,5964.25,5974.75,5945.00,5947.25,1845,16446
2025-03-03  11:00:00,5947.25,5968.75,5945.75,5947.25,1001,17447
2025-03-03  11:30:00,5947.00,5957.50,5934.50,5953.50,618,18065
