DateTime,Open,High,Low,Close,Volume,VAHPercent,VALPercent,POCPercent,Skewness,Kurtosis,PriceToVAHPercent,PriceToVALPercent,PriceToPOCPercent,PriceToHODPercent,PriceToLODPercent,PriceToPrevHODPercent,PriceToPrevLODPercent,DayRangePercent,BarDelta,DeltaToVolumePercent,CumDelta,CumDeltaToHODPercent,CumDeltaToLODPercent
2025-02-27  22:00:00,5870.25,5885.50,5858.50,5875.50,50799,0.990741,0.324074,0.814815,-0.201722,1.482223,-0.001657,0.001406,-0.000850,-0.001699,0.002902,0.000000,0.000000,0.000000,-1851,-0.036438,-1851,0.000000,0.000000
2025-02-28  02:00:00,5875.50,5899.00,5869.50,5895.00,71831,0.987654,0.481481,0.851852,-0.395495,2.069054,-0.000593,0.002892,0.000339,-0.000678,0.006230,0.000000,0.000000,0.000000,-743,-0.010344,-2594,0.000000,0.000000
2025-02-28  06:00:00,5895.00,5900.50,5878.00,5880.00,138669,0.916667,0.589286,0.702381,-1.071732,3.676619,-0.002883,-0.000552,-0.001359,-0.003474,0.003670,0.000000,0.000000,0.000000,-6519,-0.047011,-9113,0.000000,0.000000
2025-02-28  09:30:00,5879.75,5914.25,5848.00,5870.75,1278849,0.849057,0.388679,0.633962,-0.364676,2.379104,-0.005674,-0.000511,-0.003268,-0.007355,0.003890,0.000000,0.000000,0.000000,-2487,-0.001945,-11600,0.000000,0.000000
2025-02-28  13:30:00,5870.75,5971.00,5859.00,5957.25,1033541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007271,0.018682,0.000000,38113,0.036876,0,0.000000,0.000000
2025-03-02  18:00:00,5967.50,5984.50,5947.00,5964.25,71158,0.613333,0.093333,0.546667,0.352501,2.042369,-0.000963,0.002311,-0.000545,-0.003384,0.002901,0.008454,0.019879,0.566038,-2378,-0.033419,-2378,-0.000000,-0.000000
2025-03-02  22:00:00,5964.25,5982.25,5957.50,5979.50,27597,0.700000,0.160000,0.546667,0.075375,1.878247,0.001046,0.004452,0.002011,-0.000835,0.005465,0.011033,0.022486,0.566038,403,0.014603,-1975,-0.000000,-0.169470
2025-03-03  02:00:00,5979.50,5983.50,5955.75,5982.00,78383,0.860000,0.373333,0.480000,-0.169525,2.083209,0.000460,0.003523,0.002850,-0.000418,0.005885,0.011455,0.022914,0.566038,-161,-0.002054,-2136,0.081519,-0.101766
2025-03-03  06:00:00,5982.00,6000.50,5980.25,5984.75,111337,0.869159,0.369159,0.696262,-0.142966,1.999447,-0.001460,0.003017,0.000084,-0.002625,0.006348,0.011920,0.023384,0.807547,913,0.008200,-1223,-0.000000,-0.485702
2025-03-03  09:30:00,5984.75,5997.00,5901.50,5904.25,1158341,0.714646,0.361111,0.550505,-0.236760,3.072972,-0.011386,-0.005558,-0.008689,-0.016040,0.000466,-0.001691,0.009619,1.494340,-19353,-0.016708,-20576,15.824203,-0.000000
2025-03-03  13:30:00,5904.25,5929.50,5821.75,5870.00,1049979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.021748,-0.005338,0.000000,11047,0.010521,0,0.000000,0.000000
2025-03-03  18:00:00,5874.00,5881.50,5859.50,5871.00,69198,0.738636,0.261364,0.545455,-0.053975,2.386400,-0.000808,0.000980,-0.000085,-0.001785,0.001963,-0.021582,-0.005168,0.222222,-834,-0.012052,-834,-0.000000,-0.000000
2025-03-03  22:00:00,5871.00,5884.00,5859.25,5878.25,49238,0.717172,0.313131,0.494949,-0.243924,2.521087,0.000213,0.001918,0.001150,-0.000977,0.003243,-0.020373,-0.003940,0.250000,672,0.013648,-162,-0.000000,-0.805755
2025-03-04  02:00:00,5878.25,5879.25,5848.75,5855.75,93923,0.787234,0.404255,0.602837,-0.540630,2.880187,-0.003531,-0.001237,-0.002428,-0.004801,0.001197,-0.024123,-0.007752,0.356061,-997,-0.010615,-1159,6.154321,-0.000000
2025-03-04  06:00:00,5855.75,5861.00,5812.00,5819.00,241915,0.750000,0.000000,0.145833,-0.009999,1.328622,-0.008012,0.001204,-0.000601,-0.011047,0.001204,-0.030247,-0.013979,0.727273,-5589,-0.023103,-6748,40.654321,-0.000000
